text,label
you're a big girl now.,0
"when he spoke to them in the city, did they hear?",0
"all the gold and silver being stolen away,",0
"i want you,",0
take the rag away from your face! now ain't the time for your tears.,0
"but there's violence in the eyes, girl, so let us not be enticed",0
"and the ancient, empty street's too dead for dreaming.",0
"the day would surely have to break,",0
"i woke up on the roadside daydreaming 'bout the way things sometimes are,",0
i'm younger than that now.,0
"six months on the chain gang,",0
"mama's in a factory, she ain't got no shoes,",0
"then he destroyed a bomb factory, he--nobody was glad.",0
"is, baby, be friends with you.",0
"everybody moving - if they ain't already there,",0
"is there any truth in that, senor?",0
"exchanging all precious gifts,",0
"knock--knock--knocking on heaven's door,",0
"it's too bad for his wife and kids he's dead,",0
"someone had to reach for the rising star, i guess it was up to me.",0
i can still hear the sounds of those methodist bells -,0
i decided to have him arrested and i went looking for a cop.,0
and i'll be with you when the deal goes down.,0
is brought down from the castles by insurance men who go,0
'steada turning her back to my face?,0
"he's dressed up like a squire, bootlegged whiskey in his hand,",0
even the pawn must hold a grudge.,0
"well, she pulled off them high-heeled shoes made of spanish leather,",0
at napoleon in rags and the language that he used.,0
"so, when frankie lee needed money one day, judas quickly pulled out a roll of tens",0
"well, first he's in the background and then he's in the front,",0
"you been two-faced, you been double-dealing.",0
"blowing through the curtains in your room,",0
"for, if you insult me with one other word, i'll cut off your heads in the morning.""",0
"yes, my guard stood hard when abstract threats,",0
"may be living in another country under another name,",0
"so, if you're traveling in the north country fair,",0
"you must know about my debutante.""",0
"all clean-shaven, all coming in from the cold.",0
"mama come in and picked up a book and papa asked her what it was,",0
"the only thing i knew how to do was to keep on keeping on like a bird that flew,",0
"jesus said, ""be ready for you know not the hour which i come"",",0
tomorrow night will it be just another memory,0
"oh, oh, oh, jokerman.",0
what can i say about claudette? ain't seen her since january.,0
"feel like i'm knocking on heaven's door,",0
you don't have to be afraid.,0
up into some paradise,1
"babe, i'd lay awake all night,",0
why and what's the reason for?,0
"one more cup of coffee for the road,",0
"you say you're assuming that you're kind of a-hurting, but you know sometimes you lie.",0
"alberta, what's on your mind?",0
so i remember every face,0
"she passed the door where the greek had locked where a handwritten sign read a-""do not disturb"".",0
"just remember that death is not the end,",-1
"they'll stone you and then they'll say, ""good luck.""",0
"well, they'll stone you when you're walking on the street,",0
the man the authorities came to blame,0
"the endless road and the wailing of chimes,",0
"but then they took him to the jailhouse, where they try to turn a man into a mouse.",0
"oh, fare thee well, my own true love,",1
cannot hold you to its heat.,0
let us hope they've found mercy in their bone-filled graves.,-1
"he was her man, but he done her wrong.",-1
"oh, her darling love she found.",1
will soon shake your windows and rattle your walls,0
"the cops said, ""a poor boy like you could use a break -",0
"well, i wake up in the morning, fold my hands and pray for rain,",0
